labels,Area,Perim.,Circ.,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_0_well_2_100X_1_blob_53,381.6716,72.5619,0.9109,0.9443,0.9594,si,0,22.60185,1.870955615539124
Esferas_BT474_dia_0_well_2_100X_1_blob_54,292.5995,64.2449,0.8909,0.942,0.9442,si,0,20.0989,1.3156742900173943
Esferas_BT474_dia_0_well_2_100X_1_blob_55,377.518,71.0384,0.9401,0.984,0.9641,si,0,22.28785,1.7940562209947366
Esferas_BT474_dia_0_well_2_100X_1_blob_56,310.5986,67.7582,0.8501,0.9662,0.9308,si,0,21.40445,1.5890725969311237
Esferas_BT474_dia_0_well_2_100X_1_blob_57,300.4453,64.0801,0.9195,0.9641,0.9525,si,0,20.2374,1.3430607803892218
Esferas_BT474_dia_0_well_2_100X_1_blob_58,319.3673,65.4388,0.9372,0.9481,0.9618,si,0,20.5111,1.3982936191273383
Esferas_BT474_dia_0_well_2_100X_1_blob_59,318.9058,66.0016,0.9199,0.9134,0.9538,si,0,20.80175,1.4585829672509851
Esferas_BT474_dia_0_well_2_100X_1_blob_60,371.5183,71.9992,0.9006,0.8814,0.9487,si,0,22.6636,1.886332335283552
Esferas_BT474_dia_0_well_2_100X_1_blob_61,295.8301,64.0801,0.9053,0.8854,0.951,si,0,20.48605,1.39317670767843
Esferas_BT474_dia_0_well_2_100X_1_blob_62,284.2923,62.8862,0.9034,0.9447,0.9521,si,0,19.6364,1.226922499194164
Esferas_BT474_dia_0_well_2_100X_1_blob_63,282.4462,62.5566,0.907,0.9498,0.9496,si,0,19.30465,1.1657819216797345
Esferas_BT474_dia_0_well_2_100X_1_blob_65,488.2812,85.2847,0.8436,0.8229,0.9446,si,0,26.44925,2.9982759742514147
Esferas_BT474_dia_0_well_1_100X_1_blob_4,902.2588,119.9115,0.7885,0.6071,0.9307,no,0,35.83325,7.4557290781024275
Esferas_BT474_dia_0_well_1_100X_1_blob_12,1298.2374,162.3207,0.6192,0.5828,0.8553,no,0,46.37265,16.159103548215903
Esferas_BT474_dia_0_well_1_100X_1_blob_18,766.5739,115.7388,0.7191,0.541,0.9182,no,0,31.87155,5.246154477146227
Esferas_BT474_dia_0_well_1_100X_1_blob_20,808.5716,118.0583,0.7290000000000001,0.5279,0.9243,no,0,33.70795,6.206239670441875
Esferas_BT474_dia_0_well_2_100X_1_blob_8,874.1065,130.8776,0.6413,0.5075,0.8983,no,0,35.42365,7.202967322143303
Esferas_BT474_dia_0_well_2_100X_1_blob_9,633.658,109.275,0.6668,0.519,0.8994,no,0,29.91605,4.338546645447629
Esferas_BT474_dia_0_well_2_100X_1_blob_13,666.887,113.2828,0.653,0.4784,0.8939,no,0,31.00595,4.830217053851877
Esferas_BT474_dia_0_well_2_100X_1_blob_18,815.4943,119.2804,0.7203,0.5534,0.909,no,0,33.564150000000005,6.127149538349973
Esferas_BT474_dia_0_well_2_100X_1_blob_19,684.4245,111.5262,0.6915,0.5275,0.8999,no,0,31.054700000000004,4.8530362390173005
Esferas_BT474_dia_0_well_2_100X_1_blob_22,566.7385,104.9658,0.6464,0.5275,0.88,no,0,28.22305,3.642867333613583
Esferas_BT474_dia_0_well_2_100X_1_blob_25,652.1185,112.8849,0.6431,0.5248,0.8862,no,0,30.26115,4.490428697566582
Esferas_BT474_dia_0_well_2_100X_1_blob_29,812.2637,128.5581,0.6176,0.4881,0.8826,no,0,34.23135,6.499853987865112
Esferas_BT474_dia_0_well_2_100X_1_blob_32,516.8951,102.4815,0.6185,0.4675,0.8672,no,0,27.948,3.5373963520129847
Esferas_BT474_dia_0_well_2_100X_1_blob_38,628.5813,110.0026,0.6528,0.4734,0.8859,no,0,30.5238,4.608369755435367
Esferas_BT474_dia_0_well_2_100X_1_blob_44,741.6521,121.435,0.632,0.5226,0.8918,no,0,32.148250000000004,5.383981150132438
Esferas_BT474_dia_0_well_2_100X_1_blob_46,474.4358,100.4918,0.5904,0.5525,0.861,no,0,27.3943,3.3312877080338623
Esferas_BT474_dia_0_well_2_100X_1_blob_47,588.4297,107.1204,0.6444,0.5121,0.8873,no,0,29.48135,4.152155598762318
Esferas_BT474_dia_0_well_2_100X_1_blob_49,709.8077,111.3613,0.7193,0.5095,0.9044,no,0,31.6231,5.124421493108387
Esferas_BT474_dia_0_well_2_100X_1_blob_50,608.2748,104.801,0.696,0.5176,0.9,no,0,29.183550000000004,4.027595806148075
Esferas_BT474_dia_0_well_2_100X_1_blob_64,781.8038,122.5606,0.654,0.5083,0.8911,no,0,34.32865,6.555437698124084
Esferas_BT474_dia_1_well_2_100X_2_blob_1,914.7197,113.9139,0.8858,0.8539,0.964,si,1,34.8891,6.8817805491633655
Esferas_BT474_dia_1_well_2_100X_2_blob_2,1206.8577,140.0871,0.7728,0.5657,0.9614,si,1,40.22395,10.545949038488551
Esferas_BT474_dia_1_well_2_100X_2_blob_3,1347.6193,139.9905,0.8641,0.8744,0.962,si,1,41.9314,11.946745396263234
Esferas_BT474_dia_1_well_2_100X_2_blob_4,1484.2273,149.1034,0.8389,0.8002,0.9616,si,1,45.547,15.3112571642128
Esferas_BT474_dia_1_well_2_100X_2_blob_5,1008.8684,125.0448,0.8108,0.8199,0.9457,si,1,37.6135,8.623086870618188
